"SoftPlot Measurement Presentation"
"Start", 3.000000000000000E+0005
"Stop", 6.000000000000000E+0009
"Points",801
"Point","X-Axis (Hz)","REF (re)","REF (im)","UUT (re)","UUT (im)","S13 (re)","S13 (im)"
1,300000.000000476837,-15.485055923462,0.000000000000,-68.693885803223,0.000000000000,53.208829879761,0.000000000000
2,303736.890264987946,-15.483180046082,0.000000000000,-68.612594604492,0.000000000000,53.129414558411,0.000000000000
3,307520.328358650208,-15.483347892761,0.000000000000,-68.507682800293,0.000000000000,53.024334907532,0.000000000000
4,311350.894090652466,-15.481554985046,0.000000000000,-68.740730285645,0.000000000000,53.259175300598,0.000000000000
5,315229.174507141113,-15.479965209961,0.000000000000,-68.405212402344,0.000000000000,52.925247192383,0.000000000000
6,319155.763951301575,-15.477963447571,0.000000000000,-68.558120727539,0.000000000000,53.080157279968,0.000000000000
7,323131.264174938202,-15.479039192200,0.000000000000,-68.466606140137,0.000000000000,52.987566947937,0.000000000000
8,327156.284425735474,-15.476124763489,0.000000000000,-68.566291809082,0.000000000000,53.090167045593,0.000000000000
9,331231.441539764404,-15.475121498108,0.000000000000,-68.498085021973,0.000000000000,53.022963523865,0.000000000000
10,335357.360031127930,-15.475380897522,0.000000000000,-68.453315734863,0.000000000000,52.977934837341,0.000000000000
11,339534.672210693359,-15.475038528442,0.000000000000,-68.505142211914,0.000000000000,53.030103683472,0.000000000000
12,343764.018247127533,-15.471672058105,0.000000000000,-68.490364074707,0.000000000000,53.018692016602,0.000000000000
13,348046.046290397644,-15.471199035645,0.000000000000,-68.617195129395,0.000000000000,53.145996093750,0.000000000000
14,352381.412563800812,-15.470060348511,0.000000000000,-68.649482727051,0.000000000000,53.179422378540,0.000000000000
15,356770.781457424164,-15.469661712646,0.000000000000,-68.515434265137,0.000000000000,53.045772552490,0.000000000000
16,361214.825656890869,-15.468213081360,0.000000000000,-68.587219238281,0.000000000000,53.119006156921,0.000000000000
17,365714.226208209991,-15.469218254089,0.000000000000,-68.480758666992,0.000000000000,53.011540412903,0.000000000000
18,370269.672646522522,-15.466120719910,0.000000000000,-68.590637207031,0.000000000000,53.124516487122,0.000000000000
19,374881.863096237183,-15.464775085449,0.000000000000,-68.464485168457,0.000000000000,52.999710083008,0.000000000000
20,379551.504377841949,-15.464878082275,0.000000000000,-68.487922668457,0.000000000000,53.023044586182,0.000000000000
21,384279.312109947205,-15.463629722595,0.000000000000,-68.400321960449,0.000000000000,52.936692237854,0.000000000000
22,389066.010843753815,-15.461236000061,0.000000000000,-68.574165344238,0.000000000000,53.112929344177,0.000000000000
23,393912.334137439728,-15.460893630981,0.000000000000,-68.564765930176,0.000000000000,53.103872299194,0.000000000000
24,398819.024692535400,-15.459739685059,0.000000000000,-68.420791625977,0.000000000000,52.961051940918,0.000000000000
25,403786.834461212158,-15.458577156067,0.000000000000,-68.325630187988,0.000000000000,52.867053031921,0.000000000000
26,408816.524763107300,-15.457592010498,0.000000000000,-68.541870117188,0.000000000000,53.084278106689,0.000000000000
27,413908.866394042969,-15.457998275757,0.000000000000,-68.520210266113,0.000000000000,53.062211990356,0.000000000000
28,419064.639770984650,-15.456172943115,0.000000000000,-68.519149780273,0.000000000000,53.062976837158,0.000000000000
29,424284.635012626648,-15.456134796143,0.000000000000,-68.562110900879,0.000000000000,53.105976104736,0.000000000000
30,429569.652085781097,-15.455962181091,0.000000000000,-68.603363037109,0.000000000000,53.147400856018,0.000000000000
31,434920.500921726227,-15.454248428345,0.000000000000,-68.484558105469,0.000000000000,53.030309677124,0.000000000000
32,440338.001533031464,-15.452492713928,0.000000000000,-68.444328308105,0.000000000000,52.991835594177,0.000000000000
33,445822.984169483185,-15.454101562500,0.000000000000,-68.540756225586,0.000000000000,53.086654663086,0.000000000000
34,451376.289400100708,-15.453992843628,0.000000000000,-68.604942321777,0.000000000000,53.150949478149,0.000000000000
35,456998.768271446228,-15.452451705933,0.000000000000,-68.502037048340,0.000000000000,53.049585342407,0.000000000000
36,462691.282431602478,-15.453486442566,0.000000000000,-68.567497253418,0.000000000000,53.114010810852,0.000000000000
37,468454.704260826111,-15.451859474182,0.000000000000,-68.536499023438,0.000000000000,53.084639549255,0.000000000000
38,474289.916998386383,-15.451509475708,0.000000000000,-68.568504333496,0.000000000000,53.116994857788,0.000000000000
39,480197.814909458160,-15.451073646545,0.000000000000,-68.566635131836,0.000000000000,53.115561485291,0.000000000000
40,486179.303374290466,-15.450719833374,0.000000000000,-68.447395324707,0.000000000000,52.996675491333,0.000000000000
